species,data type,psi,gs
Quercus agrifolia,1,3.185,23.49103577
Quercus agrifolia,1,3.22,30.89103577
Quercus agrifolia,1,3.223,13.69103577
Quercus agrifolia,1,3.251,62.89103577
Quercus agrifolia,1,3.27,63.89103577
Quercus agrifolia,1,3.31,2.591035771
Quercus agrifolia,1,3.32,2.291035771
Quercus agrifolia,1,3.372,0.241035771
Quercus agrifolia,1,3.5215,1.891035771
Quercus agrifolia,1,3.702,2.191035771
Quercus agrifolia,1,3.999,33.39103577
Quercus agrifolia,1,4,3.891035771
Quercus berberidifolia,1,0.316,137.3341163
Quercus berberidifolia,1,0.42,96.33411633
Quercus berberidifolia,1,0.46,246.3341163
Quercus berberidifolia,1,0.54,107.3341163
Quercus berberidifolia,1,0.76,268.3341163
Quercus berberidifolia,1,1.06,200.3341163
Quercus berberidifolia,1,1.27,17.33411633
Quercus berberidifolia,1,1.34,58.33411633
Quercus berberidifolia,1,1.37,54.33411633
Quercus berberidifolia,1,1.4,5.734116325
Quercus berberidifolia,1,1.61,43.33411633
Quercus berberidifolia,1,1.67,76.33411633
Quercus berberidifolia,1,1.69,9.134116325
Quercus berberidifolia,1,1.7,51.33411633
Umbellaria californica,1,0.52,41.19382675
Umbellaria californica,1,0.589,32.69382675
Umbellaria californica,1,0.63,53.69382675
Umbellaria californica,1,0.85,69.69382675
Umbellaria californica,1,0.93,52.69382675
Umbellaria californica,1,1.1,75.69382675
Umbellaria californica,1,1.27,49.69382675
Umbellaria californica,1,1.4,34.69382675
Umbellaria californica,1,1.5,96.69382675
Umbellaria californica,1,1.7,75.69382675
Umbellaria californica,1,2.38,3.593826745
Umbellaria californica,1,2.43,6.593826745
Umbellaria californica,1,2.5,5.393826745
Umbellaria californica,1,0.633,231.6938267
Acer negundo,2,0.1055,227.6041876
Acer negundo,2,0.138,482.6041876
Acer negundo,2,0.201,154.6041876
Acer negundo,2,0.202,247.6041876
Acer negundo,2,0.2475,302.6041876
Acer negundo,2,0.343,48.60418759
Acer negundo,2,0.384,71.60418759
Acer negundo,2,0.434,145.6041876
Acer negundo,2,0.462,227.6041876
Acer negundo,2,0.4695,41.10418759
Acer negundo,2,0.492,69.60418759
Acer negundo,2,0.5,169.6041876
Acer negundo,2,0.51,110.6041876
Acer negundo,2,0.5115,188.6041876
Acer negundo,2,0.512,11.00418759
Acer negundo,2,0.6545,121.6041876
Acer negundo,2,0.85,1.404187592
Acer negundo,2,0.8675,17.60418759
Acer negundo,2,0.87,19.80418759
Acer negundo,2,0.958,47.60418759
Acer negundo,2,0.961,10.00418759
Acer negundo,2,0.9695,5.904187592
Acer negundo,2,1.139,8.504187592
Acer negundo,2,1.213,9.204187592
Acer negundo,2,1.253,23.20418759
Acer negundo,2,1.34,3.404187592
Acer negundo,2,1.38,5.404187592
Acer negundo,2,1.383,19.20418759
Acer negundo,2,1.51,6.404187592
Acer negundo,2,1.543,32.60418759
Alnus rhombifolia,2,0.125,99.09883297
Alnus rhombifolia,2,0.222,85.09883297
Alnus rhombifolia,2,0.256,97.09883297
Alnus rhombifolia,2,0.26,156.098833
Alnus rhombifolia,2,0.298,158.098833
Alnus rhombifolia,2,0.3,65.09883297
Alnus rhombifolia,2,0.302,102.098833
Alnus rhombifolia,2,0.37,171.098833
Alnus rhombifolia,2,0.4,146.098833
Alnus rhombifolia,2,0.402,74.09883297
Alnus rhombifolia,2,0.609,81.09883297
Alnus rhombifolia,2,0.75,148.098833
Alnus rhombifolia,2,0.9,136.098833
Alnus rhombifolia,2,1.111,65.09883297
Alnus rhombifolia,2,1.136,8.098832971
Alnus rhombifolia,2,1.151,131.098833
Alnus rhombifolia,2,1.261,83.09883297
Alnus rhombifolia,2,1.35,39.09883297
Alnus rhombifolia,2,1.37,56.09883297
Alnus rhombifolia,2,1.381,-2.901167029
Alnus rhombifolia,2,1.432,30.59883297
Alnus rhombifolia,2,1.45,49.09883297
Alnus rhombifolia,2,1.453,83.09883297
Alnus rhombifolia,2,1.462,35.09883297
Alnus rhombifolia,2,1.571,-2.901167029
Alnus rhombifolia,2,1.652,4.998832971
Betula occidentalis,2,0.175,224.1414727
Betula occidentalis,2,0.18,77.14147274
Betula occidentalis,2,0.197,163.1414727
Betula occidentalis,2,0.23,140.1414727
Betula occidentalis,2,0.328,59.14147274
Betula occidentalis,2,0.4,106.1414727
Betula occidentalis,2,0.441,194.1414727
Betula occidentalis,2,0.445,59.14147274
Betula occidentalis,2,0.45,81.14147274
Betula occidentalis,2,0.48,101.1414727
Betula occidentalis,2,0.519,169.1414727
Betula occidentalis,2,0.623,44.64147274
Betula occidentalis,2,0.689,138.1414727
Betula occidentalis,2,1.09,73.14147274
Betula occidentalis,2,1.115,214.1414727
Betula occidentalis,2,1.16,246.1414727
Betula occidentalis,2,1.21,258.1414727
Betula occidentalis,2,1.26,66.14147274
Betula occidentalis,2,1.313,67.14147274
Betula occidentalis,2,1.38,366.1414727
Betula occidentalis,2,1.47,67.14147274
Betula occidentalis,2,1.53,52.14147274
Betula occidentalis,2,1.53,94.14147274
Betula occidentalis,2,1.58,140.1414727
Betula occidentalis,2,1.7,316.1414727
Betula occidentalis,2,1.77,250.1414727
Betula occidentalis,2,1.8,6.041472736
Betula occidentalis,2,1.84,40.14147274
Betula occidentalis,2,2.23,4.141472736
Betula occidentalis,2,2.27,3.341472736
Betula occidentalis,2,2.35,30.64147274
Betula occidentalis,2,2.43,10.04147274
Betula occidentalis,2,2.64,36.14147274
Betula occidentalis,2,2.71,16.74147274
Betula occidentalis,2,2.84,11.74147274
Betula occidentalis,2,3.2,12.04147274
Betula occidentalis,2,3.35,20.74147274
Cercocarpus betuloides,2,0.242,68.43209044
Cercocarpus betuloides,2,0.3,133.4320904
Cercocarpus betuloides,2,0.32,67.43209044
Cercocarpus betuloides,2,0.462,128.4320904
Cercocarpus betuloides,2,0.47,70.43209044
Cercocarpus betuloides,2,0.67,80.43209044
Cercocarpus betuloides,2,0.7,46.43209044
Cercocarpus betuloides,2,1.4,61.43209044
Cercocarpus betuloides,2,1.42,98.43209044
Cercocarpus betuloides,2,1.5,27.93209044
Cercocarpus betuloides,2,1.58,6.832090437
Cercocarpus betuloides,2,1.6,97.43209044
Cercocarpus betuloides,2,1.7,137.4320904
Cercocarpus betuloides,2,1.78,12.03209044
Cercocarpus betuloides,2,1.8,153.4320904
Cercocarpus betuloides,2,1.8,4.032090437
Cercocarpus betuloides,2,1.9,176.4320904
Cercocarpus betuloides,2,1.9,58.43209044
Cercocarpus betuloides,2,1.9,19.63209044
Cercocarpus betuloides,2,1.9,7.032090437
Cercocarpus betuloides,2,1.98,25.43209044
Cercocarpus betuloides,2,2,158.4320904
Cercocarpus betuloides,2,2,7.632090437
Cercocarpus betuloides,2,2,57.43209044
Cercocarpus betuloides,2,2,10.03209044
Cercocarpus betuloides,2,2.06,1.932090437
Cercocarpus betuloides,2,2.1,22.03209044
Cercocarpus betuloides,2,2.16,99.43209044
Cercocarpus betuloides,2,2.2,2.032090437
Cercocarpus betuloides,2,2.3,0.532090437
Cercocarpus betuloides,2,2.9,17.03209044
Cercis occidentalis,2,0.4,232.3804903
Cercis occidentalis,2,0.43,252.3804903
Cercis occidentalis,2,0.448,113.3804903
Cercis occidentalis,2,0.63,284.3804903
Cercis occidentalis,2,0.7,146.3804903
Cercis occidentalis,2,0.71,82.38049029
Cercis occidentalis,2,0.8,75.38049029
Cercis occidentalis,2,0.85,75.38049029
Cercis occidentalis,2,1.14,92.38049029
Cercis occidentalis,2,1.2,183.3804903
Cercis occidentalis,2,1.53,92.38049029
Cercis occidentalis,2,1.6,64.38049029
Cercis occidentalis,2,1.64,2.730490293
